x,y,z,sx,sy,sz
56.0,155.0,0.0,0.815221988231,-0.579148598164,-0.000105592313
56.0,156.0,0.0,0.799228559678,-0.600836415536,-0.015143023492
56.0,157.0,0.0,0.782395815897,-0.622176382048,-0.027446983231
56.0,158.0,0.0,0.76483864495,-0.643160352563,-0.036967662639
56.0,159.0,0.0,0.746654930214,-0.663776463977,-0.043671742097
56.0,160.0,0.0,0.727925282669,-0.684006294397,-0.047541267096
56.0,161.0,0.0,0.708713546652,-0.703822278717,-0.048572716358
56.0,162.0,0.0,0.689067999009,-0.723185501656,-0.046776307425
56.0,163.0,0.0,0.669023140824,-0.742043973808,-0.042175561362
56.0,164.0,0.0,0.648601965165,-0.760331476923,-0.034807125468
56.0,165.0,0.0,0.62781857383,-0.777967042248,-0.024720831876
56.0,166.0,0.0,0.606681010809,-0.794855101189,-0.011979951445
57.0,151.0,0.0,0.874735145761,-0.484515998576,-0.009092408667
57.0,152.0,0.0,0.861271577202,-0.506881772006,-0.035806975731
57.0,153.0,0.0,0.84652879264,-0.528955572955,-0.059958361149
57.0,154.0,0.0,0.830696039042,-0.550739105492,-0.081428056597
57.0,155.0,0.0,0.813949690305,-0.572242891907,-0.10011979981
57.0,156.0,0.0,0.796449385802,-0.593483068498,-0.115957851232
57.0,157.0,0.0,0.778335135953,-0.614477858572,-0.128885132834
57.0,158.0,0.0,0.759725432742,-0.635243878808,-0.138861374335
57.0,159.0,0.0,0.740716362471,-0.655792440038,-0.145861392965
57.0,160.0,0.0,0.721381681289,-0.676126002422,-0.149873609248
57.0,161.0,0.0,0.701773781709,-0.696234938009,-0.15089887475
57.0,162.0,0.0,0.681925450856,-0.716094741172,-0.148949659752
57.0,163.0,0.0,0.661852298929,-0.735663809889,-0.144049620694
57.0,164.0,0.0,0.641555719579,-0.754881898823,-0.136233540308
57.0,165.0,0.0,0.621026232861,-0.773669319599,-0.125547608538
57.0,166.0,0.0,0.600247056211,-0.791926935437,-0.1120499908
57.0,167.0,0.0,0.579197749464,-0.809536967631,-0.095811612317
57.0,168.0,0.0,0.557857786023,-0.82636460132,-0.076917073906
57.0,169.0,0.0,0.536209913486,-0.842260348853,-0.055465605822
57.0,170.0,0.0,0.514243182549,-0.857063101767,-0.031571962102
57.0,171.0,0.0,0.491955542108,-0.870603777962,-0.00536715826
58.0,148.0,0.0,0.912507907089,-0.408988259136,-0.007610741639
58.0,149.0,0.0,0.901184588242,-0.431279348044,-0.043179414834
58.0,150.0,0.0,0.888083076182,-0.453283047699,-0.076439050668
58.0,151.0,0.0,0.873441752281,-0.474980457981,-0.107205736363
58.0,152.0,0.0,0.857498166868,-0.496371198245,-0.135323787157
58.0,153.0,0.0,0.840482136651,-0.517471436429,-0.16066452767
58.0,154.0,0.0,0.822609618738,-0.538311115987,-0.183124431916
58.0,155.0,0.0,0.804077536676,-0.558930503973,-0.202622818905
58.0,156.0,0.0,0.78505968256,-0.579376208731,-0.219099300716
58.0,157.0,0.0,0.765703769516,-0.599696834423,-0.232511169907
58.0,158.0,0.0,0.746129661866,-0.619938451852,-0.242830895065
58.0,159.0,0.0,0.726428766938,-0.640140070692,-0.250043869071
58.0,160.0,0.0,0.70666453325,-0.66032929727,-0.254146525871
58.0,161.0,0.0,0.686873965177,-0.680518354602,-0.25514490983
58.0,162.0,0.0,0.667070034505,-0.700700627557,-0.253053748454
58.0,163.0,0.0,0.647244845115,-0.720847876362,-0.247896045989
58.0,164.0,0.0,0.62737338861,-0.74090823665,-0.239703183392
58.0,165.0,0.0,0.607417716703,-0.760805094898,-0.228515480905
58.0,166.0,0.0,0.587331350613,-0.780436895515,-0.214383153969
58.0,167.0,0.0,0.567063748893,-0.799677901403,-0.197367572562
58.0,168.0,0.0,0.546564662702,-0.818379894974,-0.177542718768
58.0,169.0,0.0,0.525788221119,-0.836374772997,-0.154996727794
58.0,170.0,0.0,0.504696607904,-0.853477957457,-0.129833393642
58.0,171.0,0.0,0.483263213988,-0.869492517179,-0.102173521887
58.0,172.0,0.0,0.461475175766,-0.884213871888,-0.072156017853
58.0,173.0,0.0,0.439335236601,-0.897434932149,-0.039938608384
58.0,174.0,0.0,0.416862896528,-0.908951515239,-0.005698108734
59.0,146.0,0.0,0.934660739191,-0.354890596057,-0.021493427965
59.0,147.0,0.0,0.924192129029,-0.37662812039,-0.063404791398
59.0,148.0,0.0,0.911537511691,-0.398059837976,-0.103187839257
59.0,149.0,0.0,0.896966871748,-0.419142000413,-0.140607305912
59.0,150.0,0.0,0.880761514886,-0.439855184941,-0.175461021817
59.0,151.0,0.0,0.863205139264,-0.460203851429,-0.207579629727
59.0,152.0,0.0,0.844575371342,-0.480214806485,-0.236825213512
59.0,153.0,0.0,0.825136052778,-0.499934643573,-0.263089046828
59.0,154.0,0.0,0.805130509917,-0.519426267918,-0.286288690307
59.0,155.0,0.0,0.784775980901,-0.538764648846,-0.30636467315
59.0,156.0,0.0,0.76425932007,-0.558031969742,-0.323276990261
59.0,157.0,0.0,0.743734046353,-0.577312366603,-0.337001631543
59.0,158.0,0.0,0.723318752621,-0.596686460227,-0.347527337471
59.0,159.0,0.0,0.703096846926,-0.616225893901,-0.354852746261
59.0,160.0,0.0,0.683117554562,-0.635988088185,-0.358984064183
59.0,161.0,0.0,0.663398072412,-0.656011416604,-0.359933353281
59.0,162.0,0.0,0.643926734563,-0.6763109912,-0.35771749146
59.0,163.0,0.0,0.624667021313,-0.696875224892,-0.352357820142
59.0,164.0,0.0,0.605562223143,-0.717663309401,-0.343880456325
59.0,165.0,0.0,0.58654055754,-0.738603713739,-0.332317210524
59.0,166.0,0.0,0.567520530289,-0.759593770478,-0.317707021565
59.0,167.0,0.0,0.548416334286,-0.780500376654,-0.300097794614
59.0,168.0,0.0,0.529143087969,-0.801161795302,-0.27954851136
59.0,169.0,0.0,0.509621731745,-0.82139050402,-0.256131471003
59.0,170.0,0.0,0.489783423377,-0.840977000752,-0.229934517614
59.0,171.0,0.0,0.469573300936,-0.859694445562,-0.201063112775
59.0,172.0,0.0,0.448953513029,-0.877303991728,-0.169642121057
59.0,173.0,0.0,0.42790544874,-0.893560640452,-0.135817188801
59.0,174.0,0.0,0.40643113244,-0.908219440632,-0.099755612576
59.0,175.0,0.0,0.3845537797,-0.921041847998,-0.061646611869
59.0,176.0,0.0,0.362317538957,-0.931802055236,-0.021700940579
60.0,144.0,0.0,0.953476503158,-0.300722832399,-0.021173946262
60.0,145.0,0.0,0.944276028327,-0.321800717063,-0.06918873336
60.0,146.0,0.0,0.93238369267,-0.342574267076,-0.115340891192
60.0,147.0,0.0,0.918081087802,-0.362960516088,-0.159332294218
60.0,148.0,0.0,0.901678026174,-0.382903752673,-0.200901601048
60.0,149.0,0.0,0.88350216354,-0.402377278338,-0.239825880375
60.0,150.0,0.0,0.863888530045,-0.421383901708,-0.275920668014
60.0,151.0,0.0,0.843169375612,-0.439955148813,-0.3090386239
60.0,152.0,0.0,0.821664683577,-0.458149222984,-0.339067009958
60.0,153.0,0.0,0.799673648144,-0.476047796755,-0.365924243074
60.0,154.0,0.0,0.777467350552,-0.493751761407,-0.389555794376
60.0,155.0,0.0,0.755282808519,-0.511376096976,-0.409929709336
60.0,156.0,0.0,0.733318515146,-0.529044056124,-0.427032015222
60.0,157.0,0.0,0.711731527712,-0.546880878921,-0.440862265035
60.0,158.0,0.0,0.690636114067,-0.565007271855,-0.45142944155
60.0,159.0,0.0,0.670103915019,-0.583532892901,-0.458748412509
60.0,160.0,0.0,0.650165535634,-0.602550085036,-0.46283708937
60.0,161.0,0.0,0.630813437309,-0.622128092854,-0.463714398518
60.0,162.0,0.0,0.612005966534,-0.642307981045,-0.461399127017
60.0,163.0,0.0,0.593672326257,-0.663098449568,-0.455909656859
60.0,164.0,0.0,0.575718272436,-0.68447270874,-0.447264554568
60.0,165.0,0.0,0.558032302644,-0.706366539266,-0.435483939326
60.0,166.0,0.0,0.540492096015,-0.728677618443,-0.420591515043
60.0,167.0,0.0,0.522970965113,-0.751266146496,-0.402617121814
60.0,168.0,0.0,0.505344090491,-0.77395675833,-0.381599641563
60.0,169.0,0.0,0.487494327609,-0.796541658634,-0.357590081811
60.0,170.0,0.0,0.46931740261,-0.818784874836,-0.330654660253
60.0,171.0,0.0,0.450726346609,-0.840427485333,-0.300877719963
60.0,172.0,0.0,0.431655055869,-0.861193651332,-0.268364318879
60.0,173.0,0.0,0.412060905014,-0.880797260472,-0.233242355725
60.0,174.0,0.0,0.391926379943,-0.898948978855,-0.195664115567
60.0,175.0,0.0,0.371259734209,-0.915363504181,-0.1558071403
60.0,176.0,0.0,0.35009470547,-0.929766814462,-0.113874351489
60.0,177.0,0.0,0.328489356489,-0.941903212357,-0.070093375048
60.0,178.0,0.0,0.306524127494,-0.951541972839,-0.024715039753
61.0,142.0,0.0,0.968897078537,-0.247375406406,-0.006622651151
61.0,143.0,0.0,0.961606970303,-0.267716635482,-0.060331067879
61.0,144.0,0.0,0.951051883015,-0.287807205544,-0.112549225897
61.0,145.0,0.0,0.937494395766,-0.307515820796,-0.162905733075
61.0,146.0,0.0,0.921245856327,-0.326736964787,-0.211066406709
61.0,147.0,0.0,0.902655669261,-0.345395265878,-0.256738881084
61.0,148.0,0.0,0.882099678928,-0.363448627934,-0.299675243034
61.0,149.0,0.0,0.859968160469,-0.380889985861,-0.33967275671
61.0,150.0,0.0,0.836653896947,-0.397747608766,-0.376572830199
61.0,151.0,0.0,0.812540769917,-0.414083935096,-0.410258445273
61.0,152.0,0.0,0.787993230834,-0.429992982096,-0.440650318855
61.0,153.0,0.0,0.763346957312,-0.445596425276,-0.467702093799
61.0,154.0,0.0,0.738900934209,-0.461038491366,-0.491394870653
61.0,155.0,0.0,0.714911136523,-0.476479849754,-0.511731394047
61.0,156.0,0.0,0.691585929632,-0.492090721847,-0.528730199069
61.0,157.0,0.0,0.669083242984,-0.508043454603,-0.54242000534
61.0,158.0,0.0,0.647509516286,-0.524504822977,-0.55283461993
61.0,159.0,0.0,0.626920363246,-0.541628335979,-0.560008574768
61.0,160.0,0.0,0.607322847876,-0.559546822198,-0.563973680428
61.0,161.0,0.0,0.588679223149,-0.578365562961,-0.564756627065
61.0,162.0,0.0,0.570911942226,-0.598156224784,-0.562377706685
61.0,163.0,0.0,0.553909719471,-0.61895181741,-0.556850671545
61.0,164.0,0.0,0.537534392522,-0.640742869762,-0.548183684275
61.0,165.0,0.0,0.521628318823,-0.663474973846,-0.536381260002
61.0,166.0,0.0,0.506022030808,-0.687047797203,-0.521447052628
61.0,167.0,0.0,0.490541874319,-0.71131560941,-0.503387299551
61.0,168.0,0.0,0.475017365326,-0.736089310133,-0.482214713739
61.0,169.0,0.0,0.459288020921,-0.761139888501,-0.457952600136
61.0,170.0,0.0,0.443209451247,-0.786203189843,-0.430638974787
61.0,171.0,0.0,0.426658538201,-0.81098581988,-0.400330478148
61.0,172.0,0.0,0.409537572205,-0.835171981053,-0.367105896189
61.0,173.0,0.0,0.391777266981,-0.858431012764,-0.331069130851
61.0,174.0,0.0,0.37333862095,-0.880425396875,-0.292351491607
61.0,175.0,0.0,0.3542136392,-0.90081899059,-0.251113209523
61.0,176.0,0.0,0.334424969589,-0.919285257901,-0.207544102111
61.0,177.0,0.0,0.314024538507,-0.935515284784,-0.161863340975
61.0,178.0,0.0,0.293091295958,-0.949225378727,-0.114318295184
61.0,179.0,0.0,0.271728196215,-0.960164067466,-0.065182443405
61.0,180.0,0.0,0.250058550938,-0.968118323709,-0.014752369377
62.0,141.0,0.0,0.975897653993,-0.215064918919,-0.037024985911
62.0,142.0,0.0,0.967496301861,-0.234434551113,-0.094822714206
62.0,143.0,0.0,0.955447954057,-0.253502510119,-0.151180965903
62.0,144.0,0.0,0.940027792518,-0.272107702277,-0.205682152011
62.0,145.0,0.0,0.921572307631,-0.290114937071,-0.257949229687
62.0,146.0,0.0,0.900467984094,-0.3074209197,-0.307652056312
